Codigo Punto de Venta;Punto de Venta;Empresas;Latitud;Longitud;Canal;Zona;Distrito
34150;ALMENDARIZ FONTANA;PERNOD RICARD PERU S.A.;-12.07256682;-76.94782922;TRADICIONAL;LIMA;LA MOLINA
34151;DISTRIBUICIONES Y SERVICIOS GENERALES LATINO;PERNOD RICARD PERU S.A.;-12.054747;-77.0288009;TRADICIONAL;LIMA;LIMA
34152;CORPORACION XIVA;PERNOD RICARD PERU S.A.;-12.1086849;-76.9705853;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34154;SAURIN;PERNOD RICARD PERU S.A.;-12.0547263;-77.0261853;TRADICIONAL;LIMA;LIMA
34155;DAVID BALDEON;PERNOD RICARD PERU S.A.;-12.0541648;-77.0286703;TRADICIONAL;LIMA;LIMA
34156;LICORERIA BEVERLY;PERNOD RICARD PERU S.A.;-12.0547089;-77.026715;TRADICIONAL;LIMA;LIMA
34157;LICORERIA B & S;PERNOD RICARD PERU S.A.;-12.0749495;-76.9883701;TRADICIONAL;LIMA;ATE
34159;LICORERIA EL QUIJOTE;PERNOD RICARD PERU S.A.;-12.0623672;-76.9453419;TRADICIONAL;LIMA;ATE
34161;THE SHINKA;PERNOD RICARD PERU S.A.;-12.0407616;-76.947299;TRADICIONAL;LIMA;SANTA ANITA
34162;LICORERIA CHELITA;PERNOD RICARD PERU S.A.;-12.0528012;-76.9640817;TRADICIONAL;LIMA;SANTA ANITA
34163;LICORERIA EL MUNDO DE LOS LICORES 137;PERNOD RICARD PERU S.A.;-12.0535546;-76.963788;TRADICIONAL;LIMA;SANTA ANITA
34164;DISTRIBUIDORA BALDEON;PERNOD RICARD PERU S.A.;-12.056032;-77.02885;TRADICIONAL;LIMA;LIMA
34165;GITANO MINKA;PERNOD RICARD PERU S.A.;-12.0482289;-77.109868;TRADICIONAL;LIMA;CALLAO
34166;INVERSIONES LOGUZ S.A.C /REPRESENTACIONES RENE EIRL;PERNOD RICARD PERU S.A.;-12.0618798;-77.0335669;TRADICIONAL;LIMA;LA VICTORIA
34167;INVERSIONES MARIANI S.A.C.;PERNOD RICARD PERU S.A.;-12.0614804;-77.0328391;TRADICIONAL;LIMA;LA VICTORIA
34169;J&F REPRESENTACIONES VIRGEN DEL CARMEN;PERNOD RICARD PERU S.A.;-12.0555056;-77.0289276;TRADICIONAL;LIMA;LIMA
34170;LICORERIA MILAGROS;PERNOD RICARD PERU S.A.;-12.0614933;-77.0328467;TRADICIONAL;LIMA;LA VICTORIA
34171;VENTAS BEBIDAS Y LICORES D CALIDAD EIRL;PERNOD RICARD PERU S.A.;-12.0689111;-77.0097601;TRADICIONAL;LIMA;LA VICTORIA
34172;LICORERIA SUPREMO;PERNOD RICARD PERU S.A.;-12.060511;-77.0326585;TRADICIONAL;LIMA;LA VICTORIA
34173;HT ARBEMEI;PERNOD RICARD PERU S.A.;-12.0547304;-77.0262607;TRADICIONAL;LIMA;LIMA
34174;LICORAMOS;PERNOD RICARD PERU S.A.;-12.0542584;-77.0273989;TRADICIONAL;LIMA;LIMA
34175;VILLEGAS Y HNOS;PERNOD RICARD PERU S.A.;-12.0547827;-77.0259256;TRADICIONAL;LIMA;LIMA
34176;JOS? CARLOS TANG WUTON;PERNOD RICARD PERU S.A.;-12.11807273;-77.0236873;TRADICIONAL;LIMA;SURQUILLO
34178;LICORERIA CORTEZ;PERNOD RICARD PERU S.A.;-12.1452358;-77.0058032;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34179;LICORERIA EL MUNDO DE LOS LICORES 309;PERNOD RICARD PERU S.A.;-12.0527602;-76.9641346;TRADICIONAL;LIMA;SANTA ANITA
34180;LICORERIA  ERICK;PERNOD RICARD PERU S.A.;-12.061126;-77.0328299;TRADICIONAL;LIMA;LA VICTORIA
34181;DARIO FONTANA;PERNOD RICARD PERU S.A.;-12.0772454;-76.9643285;TRADICIONAL;LIMA;LA MOLINA
